Name,Number,Museum,Latitude,Sex,Length,Family,Habitat,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53
Carettochelys_insculpta,119164,CM,x,?,139,Carettochelyidae,A,-72.6606633,111.0732522,-48.95750196,-75.59137457,133.1744057,-53.16477705,-86.27445262,151.4542383,-54.64142792,-98.03491499,167.3383708,-61.81511533,-109.8222036,177.7143596,-69.63888412,-129.795112,185.4073254,-72.50737074,-151.9353954,192.2623257,-74.85304916,-174.5747872,192.5559011,-75.15025515,-201.009682,183.5853629,-74.7694442,-221.0598419,172.0394093,-72.21581235,-245.7337887,126.0122152,-71.07075745,-245.8814336,113.9916597,-70.79563771,-81.68959379,109.0680446,-43.24221153,-85.74851805,127.0094235,-42.76791231,-94.5398451,147.0204533,-49.97679649,-106.7883224,164.1115629,-56.42930301,-116.7983251,172.4164887,-60.26766751,-131.2297083,177.3898231,-63.51373787,-148.4900447,177.4934973,-63.72239722,-167.1152899,173.978459,-63.84724996,-187.5889203,164.3266767,-60.37759439,-200.7207458,151.6879086,-58.87593263,-218.7203153,122.355583,-53.7438598,-222.04636,106.9534144,-53.03256221,-87.66790196,135.2442583,-47.76182016,-123.3791133,172.5622175,-60.55216633,-159.2812343,173.1630839,-62.00905056,-191.7729998,155.6103823,-55.03232392,-213.2331484,127.9954374,-50.19836472,-113.4366802,130.8019011,-33.23321726,-126.4415351,146.331242,-38.09985196,-136.5856689,135.4550356,-32.96515702,-149.5049018,150.1986514,-42.01970354,-164.2402479,134.8115094,-37.43232347,-175.6860572,145.4266144,-44.79692059,-190.6251211,129.0291535,-41.93761135,-113.8646892,106.8325957,-29.2012201,-138.9374991,105.8738113,-24.64278408,-162.1464938,104.1828535,-26.88408236,-192.538454,104.4994227,-35.22702877,-70.38789968,119.825651,-81.08792059,-90.63834831,140.801012,-77.79727436,-109.9720672,147.8185831,-82.74247153,-137.4067925,143.6768607,-84.55263453,-166.8275638,140.4225206,-82.76354924,-186.1305233,136.8725882,-80.35615043,-200.7109633,128.093464,-78.98065243,-209.2150686,113.2027074,-79.04983581,-131.0276042,117.8488833,-88.98288972,-172.0013887,115.102123,-84.23616613,-188.640487,113.2425433,-82.11487977,-117.452743,163.0464823,-78.2120719,-162.580352,147.2499887,-78.50574813
Carettochelys_insculpta,119165,CM,x,?,137,Carettochelyidae,A,-76.75659969,124.0628888,-62.50701944,-79.84379623,143.6590111,-69.85104702,-92.27732535,160.9960891,-72.56814544,-105.5883063,175.5837378,-80.10987326,-121.1065218,185.3697501,-88.70576821,-139.8535069,192.5049323,-92.23344774,-162.7332207,198.6701884,-91.40830768,-187.1858013,199.2630884,-86.66500749,-212.7030916,194.2766038,-79.68445123,-231.6005859,182.1153769,-69.83146774,-257.5046418,140.1442839,-55.15044107,-260.6819029,126.0702141,-51.53530755,-83.2266897,125.750018,-53.01961581,-88.51931347,148.8662894,-60.14003823,-93.60891547,157.1730138,-62.13882908,-109.2717162,175.7270177,-69.92866117,-124.8276845,182.8235435,-75.79289876,-140.504241,189.9662561,-76.97739344,-156.6656601,190.4455964,-74.30678319,-179.8830407,186.7560617,-70.58531926,-195.2012466,179.6105377,-64.07275731,-212.7824126,170.1078722,-51.64013184,-233.4518797,137.5204631,-42.62975914,-236.6896859,125.4855475,-37.00067341,-85.73564557,141.8100267,-57.86663584,-117.8635949,179.2086107,-70.94658158,-147.4062794,188.8951203,-75.32219343,-187.4466572,181.6907581,-65.72886101,-226.4058584,153.444421,-47.58411366,-115.1374599,145.2080815,-39.93404729,-135.3462623,165.2253083,-45.19393857,-152.3179612,154.2217676,-34.88119406,-168.1745464,168.0203222,-45.44505506,-182.8600914,149.7915346,-34.37705337,-197.2341756,161.132943,-44.15543486,-210.8508941,142.2398666,-37.11192374,-128.9016755,129.9020247,-30.9518888,-162.0923264,129.059414,-24.11892996,-194.966898,126.6859064,-26.61252368,-217.6383689,125.7743164,-30.06128376,-86.97335568,124.4967449,-92.41186999,-103.2387958,145.2089851,-91.31633543,-124.9144357,154.7933814,-93.06069633,-152.3880449,154.6743998,-91.61203237,-183.6219754,148.0915533,-83.37579323,-204.4889419,143.4696445,-75.58515788,-216.9429539,136.3192006,-71.2092448,-222.3728333,123.0870386,-71.57934291,-148.4482974,123.6645765,-90.51951,-176.7019642,123.3841413,-83.63002234,-197.8297866,122.9463692,-75.6040343,-128.5648119,169.2183717,-91.4099142,-177.1508813,156.1205536,-81.95383738
Acanthochelys_macrocephala,69635,BRTC,x,M,140,Chelidae,A,-131.3044,85.2489,-17.1508,-137.9196,108.9176,-14.5899,-155.198,123.7358,-13.529,-173.7511,131.6984,-16.6258,-188.9903,138.5236,-19.9638,-208.3299,136.0993,-21.6272,-223.1373,135.8809,-19.686,-235.7407,138.2965,-18.81,-256.3451,136.0472,-19.6566,-278.4297,125.4267,-16.3903,-296.8774,94.8413,-26.1917,-300.3995,74.5295,-28.5666,-146.9575,82.377,-11.1111,-152.5423,100.0865,-8.9146,-165.4979,112.0818,-6.4637,-179.1422,121.6112,-9.2557,-194.9203,126.6401,-11.7076,-213.2311,128.4932,-12.7459,-227.1786,131.3615,-12.5994,-247.5164,122.4545,-9.7688,-250.1309,123.8085,-9.129,-271.6266,108.6914,-11.4618,-290.8188,93.4104,-19.3749,-294.0828,73.7017,-20.5975,-163.8253,109.3602,-5.7498,-203.1753,128.2565,-10.1087,-238.4157,129.2526,-13.0161,-268.1522,112.9719,-11.3166,-284.9412,96.0521,-17.3346,-186.6018,87.115,5.017,-203.3173,89.6024,7.2452,-212.7961,84.435,8.3483,-225.7555,89.7166,8.6999,-237.276,83.0984,7.0816,-250.5615,85.8266,6.1264,-262.5797,76.234,0.3153,-183.363,75.1631,2.246,-210.1901,72.6735,4.6711,-236.7939,69.4618,4.2829,-261.4153,69.0592,-1.275,-135.2115,91.3857,-47.8587,-158.7011,121.3986,-43.0627,-183.6214,127.6803,-43.2174,-207.4577,126.7697,-42.0553,-230.2509,124.0619,-44.4243,-265.477,113.1654,-42.4427,-287.9196,96.4083,-40.2868,-276.2144,84.4187,-46.1478,-204.4137,90.3167,-51.9046,-224.8636,90.8451,-52.6547,-257.1059,86.3227,-49.4171,-193.6739,120.4269,-29.1583,-234.5085,125.8698,-32.939
Acanthochelys_macrocephala,69641,BRTC,x,F,192,Chelidae,A,-77.4035,110.2724,-57.5481,-84.4201,146.7378,-68.0826,-101.7753,163.7608,-79.5186,-118.3119,175.7451,-90.9424,-143.3343,186.0567,-101.293,-164.0986,191.6198,-105.1279,-182.8553,192.4251,-112.3995,-204.7608,192.2776,-116.9777,-230.6114,188.9522,-121.1317,-258.5127,181.8509,-119.2482,-291.8006,141.9317,-113.9023,-297.4019,115.9911,-110.8713,-102.0365,109.7441,-55.8089,-107.2138,136.9348,-60.9693,-111.9523,158.4094,-68.469,-130.0538,170.2954,-86.9108,-148.9508,179.4065,-93.2748,-171.2629,183.0571,-98.1367,-190.6481,183.6739,-102.6124,-210.519,179.9951,-108.7609,-230.852,175.3221,-105.4543,-251.7644,168.1842,-102.9361,-282.1754,136.3224,-100.7953,-282.0247,115.1808,-94.0921,-109.8853,140.473,-61.9493,-159.6653,180.3347,-92.1171,-201.5491,180.834,-103.0315,-236.8475,172.4324,-100.7002,-273.5872,145.728,-99.2991,-153.9801,129.2859,-53.0488,-168.0032,134.1969,-55.5109,-187.9433,128.5876,-57.0107,-203.2267,133.4584,-62.5691,-221.026,129.0409,-64.8791,-232.3421,133.2325,-69.4587,-247.8984,125.2022,-74.1554,-151.3482,112.2104,-51.6054,-184.6386,112.5981,-58.867,-220.6782,113.2651,-67.8549,-247.5345,113.8605,-73.9343,-78.4809,105.3097,-99.4857,-95.7889,140.325,-106.6563,-133.2276,151.1593,-122.2766,-173.1813,160.8279,-126.2529,-203.5471,154.79,-133.6544,-255.9712,139.3457,-139.4889,-283.4653,134.3481,-138.8393,-264.9364,108.3441,-136.7361,-169.3467,105.3188,-125.1571,-199.6068,106.907,-130.363,-244.3748,106.067,-135.085,-152.5518,159.0315,-112.9368,-206.5472,157.4595,-123.7696
Acanthochelys_macrocephala,182156,MCZ,-16.277102,M?,136,Chelidae,A,-79.888,84.8077,-137.4873,-85.5514,110.2569,-141.16,-96.4891,123.641,-146.1646,-110.0583,133.6172,-151.1112,-125.3624,139.9131,-154.9356,-142.31,143.2202,-156.7349,-156.2194,145.4788,-157.8427,-168.7721,147.3447,-158.9825,-184.6217,147.7453,-156.1033,-201.8741,138.5766,-151.9533,-228.9883,118.6039,-155.8511,-236.5353,98.4842,-153.9523,-94.389,84.9729,-130.8266,-95.2576,102.2743,-133.8426,-105.4199,120.0046,-138.5697,-115.9757,128.257,-144.4057,-130.4466,135.2844,-148.9606,-144.0902,138.7282,-150.0856,-157.0245,141.4794,-152.4057,-168.8045,141.9723,-151.5891,-181.2198,140.3907,-149.8887,-197.9877,133.5415,-145.7356,-224.3434,116.2969,-146.2251,-231.0123,98.2671,-145.9154,-104.5839,115.3373,-135.3076,-140.5235,137.0349,-148.2521,-166.2078,141.8805,-150.8163,-195.0701,134.4585,-144.5711,-213.4066,122.2429,-141.447,-133.1265,101.7161,-119.3476,-146.9224,110.0284,-119.7176,-158.4259,106.6296,-118.7008,-166.4662,111.3773,-120.3935,-180.1137,108.2772,-118.7682,-188.234,112.4649,-121.9792,-202.7006,103.059,-124.0766,-131.0193,89.8444,-118.9873,-157.6289,93.288,-117.5421,-180.0134,95.1534,-119.0215,-202.6996,97.0157,-123.5436,-84.3974,78.5097,-170.0693,-101.9145,108.838,-174.2251,-125.8078,121.9232,-180.6111,-145.0944,124.6673,-179.5792,-169.2217,124.3555,-176.4383,-203.8955,119.6449,-175.5033,-219.7241,109.4973,-171.3136,-214.4767,99.4537,-170.4445,-145.6242,87.3598,-178.8299,-175.0215,91.3843,-176.2883,-206.2985,92.9033,-173.8431,-135.3968,125.9285,-167.2139,-169.3226,127.6108,-166.1071
Acanthochelys_macrocephala,182157,MCZ,-16.277102,F,197,Chelidae,A,-22.7514,136.722,-128.1704,-33.8704,166.0949,-120.6145,-54.5077,184.5954,-120.3372,-74.6472,195.9532,-125.5463,-99.1492,203.1979,-127.8807,-123.915,202.8045,-128.2881,-145.2537,203.777,-128.1915,-169.2235,203.1296,-128.3845,-195.2529,196.1332,-124.8597,-219.1302,179.3658,-127.5765,-236.2151,135.979,-153.4257,-239.1769,114.0017,-159.1506,-42.5493,131.4494,-123.2028,-48.5318,153.2328,-117.9601,-65.3256,174.1545,-114.7836,-84.96,185.6147,-117.24,-108.4073,189.6714,-117.9315,-131.6555,190.4856,-115.473,-153.5914,192.3351,-115.4428,-170.0801,187.0021,-115.6196,-189.681,175.4837,-117.8038,-208.4466,164.0026,-121.8723,-227.5349,131.4008,-144.8155,-227.6012,112.0882,-147.7113,-64.3988,166.651,-113.2385,-124.375,188.8396,-113.7786,-164.0278,187.5126,-112.2178,-200.1785,165.89,-118.1665,-222.4672,140.1506,-136.6469,-94.6791,128.4327,-102.4545,-114.489,131.7503,-96.9342,-131.1688,122.6947,-98.1778,-145.8572,124.783,-95.9137,-161.7721,116.4707,-101.3666,-177.1919,121.1035,-103.398,-193.1149,111.8642,-117.4298,-93.5314,116.9168,-108.6908,-129.566,110.6544,-105.6512,-158.3046,107.4812,-106.9112,-190.9393,107.4134,-118.8197,-21.3947,152.0741,-163.1008,-48.1104,191.9677,-164.651,-78.5671,196.9789,-171.3744,-110.228,195.3531,-175.0702,-147.4641,183.1064,-173.6258,-194.2829,164.0048,-171.6595,-223.0015,145.2407,-163.8395,-208.3997,123.3383,-178.4813,-104.9034,149.4916,-192.4262,-142.6461,144.4284,-190.2788,-185.3493,130.7721,-186.4835,-108.7272,189.9243,-156.0434,-164.3177,179.989,-159.6695
Acanthochelys_pallidipectoris,117675,AMNH,-26.58,M?,136,Chelidae,A,-169.99834,128.5733293,-65.33938537,-174.0178835,152.1087731,-70.10574981,-186.5185494,169.0140922,-74.79817156,-202.4857082,178.1974673,-80.37810791,-220.3941153,185.4288574,-83.41745533,-237.4725412,188.0412619,-85.49159774,-253.9014872,188.1536952,-86.7561186,-271.1518045,188.6376652,-88.01223227,-293.6100151,184.6878101,-85.13555874,-311.2829198,170.4528341,-85.1498408,-333.0582244,134.7130015,-91.84155073,-333.6935235,122.9853909,-90.30587297,-186.4454171,128.1137705,-63.67962573,-187.5869703,144.6946535,-65.6291798,-197.5414762,161.4472253,-69.66351186,-210.0138819,170.8504025,-75.08745958,-225.1858025,177.589922,-76.61503401,-239.708851,179.9299541,-77.22531425,-255.7666656,180.4668994,-78.70123007,-271.5374206,177.7198787,-78.43645458,-289.0596038,171.4589608,-76.35907087,-305.3024776,161.1519611,-77.29611689,-327.9182975,134.9599497,-84.5653899,-333.4073755,123.0135499,-86.47321194,-192.639584,149.5950264,-65.69066363,-230.9321606,178.1601921,-75.02921711,-265.207422,178.3013922,-77.4022702,-294.2433897,167.220628,-75.42172094,-319.9998484,145.6782935,-80.60348111,-220.2817832,137.5267731,-56.8682908,-232.8857663,142.3743732,-56.90860475,-246.3258079,138.7636414,-55.97712973,-256.6469885,140.6489768,-57.48424334,-273.2511684,134.0714223,-57.96608614,-283.0055227,137.0836236,-60.34936966,-299.8937236,129.4201247,-64.2799794,-217.8722652,125.8467695,-59.53711457,-244.1426761,125.5518091,-59.15068815,-270.6513241,124.1099272,-59.87370562,-299.0730613,123.5757167,-64.0573411,-177.8820461,128.5387889,-92.21592344,-190.7174799,158.9255778,-91.37976359,-217.6769755,166.2453952,-97.89887305,-240.238402,164.3241014,-99.08337376,-265.1097771,161.2157746,-99.61606485,-300.866728,149.1360754,-101.2364221,-319.3107635,143.315876,-100.6596693,-313.468584,124.5326159,-102.0261905,-239.8558247,127.154643,-96.33240275,-265.7889355,126.7196981,-98.51928242,-292.6076362,125.2667753,-101.2356118,-228.5771373,167.5699818,-92.87107573,-268.4042774,163.9900426,-93.68312826
Acanthochelys_pallidipectoris,182159,MCZ,-16.277102,F,118,Chelidae,A,58.82215394,92.97745945,-85.08879347,55.44799678,111.872203,-88.31778607,46.72381486,125.2063784,-92.0438754,33.71325404,134.5857385,-94.80180347,19.14433518,139.9450037,-96.09497042,3.34285884,142.9711037,-95.23858887,-9.68330145,143.3788761,-95.60015892,-23.85925256,143.8557034,-96.51695119,-41.48179408,141.7175813,-94.86012766,-57.47245134,134.6471428,-91.7381455,-77.54073268,108.2077167,-92.75081989,-81.77296047,93.92435767,-86.34092482,48.00138227,93.44047578,-80.75064821,46.53393839,108.5055971,-83.84371669,37.45315437,120.0728585,-87.0340583,27.53715242,127.3179715,-90.35982727,15.27039857,133.2469654,-91.20011254,2.927038359,135.9853197,-91.04620433,-12.00464288,137.2131078,-90.184358,-23.89810222,135.8029945,-89.66172583,-38.22269549,132.0292125,-88.94196389,-51.40713583,126.8685674,-87.94628,-70.87041578,106.7307342,-88.88224871,-74.71027198,92.5851872,-84.08367043,40.11390864,112.967644,-84.34091276,11.02386296,134.1583923,-90.55705637,-17.12236462,136.2186163,-89.0369518,-41.91768523,129.7159192,-87.30550912,-64.68308648,113.4761671,-87.28027174,21.08155188,103.8229717,-72.66127558,9.871290065,108.0046254,-71.67393791,-2.128682909,105.2243413,-69.54088317,-11.38602919,107.6930333,-69.62007289,-23.26845959,103.7309645,-67.74624767,-33.90760167,106.0258763,-70.44147978,-48.65646101,98.26657672,-73.41829738,23.10302564,94.46368232,-72.59400906,0.505840398,94.9451796,-70.00608545,-22.66236523,94.81034841,-69.07399181,-49.02349584,94.05322727,-73.34298269,55.37218532,87.16302724,-111.2538873,47.7239699,112.7390173,-109.7456066,22.168448,122.4954475,-108.8307022,5.627933967,125.0410438,-107.023448,-19.75837833,123.7226395,-106.4114914,-50.06389161,116.2219733,-108.4954625,-67.53550568,112.5198297,-103.3502181,-62.43040266,93.65926593,-109.1684259,3.369487249,90.98847633,-106.4858125,-22.21912146,91.852906,-106.9476366,-42.47350356,93.04810419,-109.1151691,12.03107257,127.9926241,-103.1714699,-26.57753613,125.6983085,-102.4563779
Acanthochelys_pallidipectoris,3262,PCHP,x,F,125,Chelidae,A,-99.2801,88.2934,-80.938,-104.1092,110.2202,-84.9358,-115.2996,123.413,-88.1596,-128.3387,133.3005,-89.249,-144.5544,136.7959,-92.7914,-158.2967,141.3574,-93.0203,-173.7806,141.9102,-92.2688,-186.9177,142.1682,-90.8871,-202.485,140.0732,-87.7436,-219.4431,132.0077,-82.2712,-241.4062,101.8548,-77.5372,-243.0273,86.0665,-75.0256,-114.5522,87.497,-76.7598,-117.3913,105.5201,-79.2388,-126.3443,118.3945,-81.579,-134.3658,125.5163,-85.3539,-148.7275,133.3702,-86.955,-160.3781,135.8411,-86.7556,-174.8455,135.5184,-86.1783,-187.3552,133.4765,-84.154,-200.9618,129.3236,-80.3203,-208.0414,124.7976,-77.4408,-232.2298,100.6059,-70.8594,-235.6031,85.7472,-70.9473,-121.6057,107.1743,-79.2018,-152.8162,131.6321,-85.5073,-179.9628,133.5611,-84.4594,-204.2152,125.3147,-78.6921,-227.0911,105.9192,-73.0471,-141.0027,98.585,-67.4586,-151.6197,104.5132,-66.0599,-161.7971,100.63,-62.7525,-172.7365,104.1886,-62.5726,-182.3442,98.5139,-59.8113,-192.8244,100.1741,-60.4262,-205.6078,92.9829,-61.3133,-138.6644,87.7924,-67.9926,-160.915,87.1686,-63.5155,-181.866,87.7806,-60.366,-204.9013,86.8627,-61.1917,-106.7941,85.5465,-103.507,-119.3314,114.135,-104.7005,-143.6883,120.3357,-106.8533,-164.1403,119.3314,-106.2976,-187.7647,116.9658,-101.3627,-218.4444,108.5454,-98.5746,-234.8948,101.8397,-93.2705,-230.4494,84.0917,-93.9007,-164.0851,84.7647,-100.1183,-185.0342,83.9796,-98.7474,-211.4225,84.4097,-97.46,-154.0215,122.1714,-101.7496,-189.7845,120.4197,-96.318
Acanthochelys_pallidipectoris,3263,PCHP,x,F,124,Chelidae,A,-114.4082,94.0491,-77.6964,-119.2432,117.3005,-81.855,-129.7728,130.0179,-83.2065,-142.6721,138.8704,-85.0751,-155.9113,145.5597,-85.8043,-174.3274,146.9412,-87.6679,-182.2808,150.7097,-84.1484,-200.2908,149.815,-85.4426,-218.2473,146.3387,-83.3407,-234.2622,138.9884,-78.7579,-255.9229,106.0754,-75.0763,-257.9317,91.1946,-72.4633,-129.2504,93.9859,-72.4271,-131.9272,110.3138,-75.0049,-136.0632,113.64,-74.3101,-149.9232,132.1143,-79.374,-162.4999,136.39,-82.8194,-173.6957,141.255,-80.7354,-187.8499,142.129,-80.2038,-200.104,140.2393,-78.8624,-212.8725,135.4115,-76.1098,-226.7205,129.4415,-73.4527,-247.0869,106.9194,-71.0744,-251.1731,91.0442,-67.9801,-135.5304,111.7751,-74.4385,-165.0515,139.2897,-80.5077,-194.6069,141.2169,-79.3789,-217.9066,130.9581,-74.4776,-241.2449,112.6028,-69.6955,-158.0006,106.1725,-63.2636,-170.0084,110.8179,-62.029,-180.1454,105.8276,-60.0721,-183.7398,109.1309,-58.5889,-199.2612,103.3766,-57.1811,-207.5372,104.7963,-58.8564,-219.6817,97.8958,-58.213,-154.8087,95.3096,-62.6462,-176.6481,95.115,-60.4805,-196.5253,94.3431,-58.3949,-219.5732,93.7096,-58.2325,-123.3218,93.6348,-103.459,-138.719,122.0339,-101.9809,-160.2207,127.9866,-104.3261,-180.6334,130.5462,-100.2648,-201.1479,129.7101,-100.1341,-232.3137,114.2489,-98.8268,-249.533,106.8716,-90.2705,-244.2036,89.5197,-94.0688,-180.1173,91.5535,-98.8181,-201.0804,90.6161,-97.0657,-226.205,90.0645,-96.1597,-167.2123,130.2136,-95.5176,-204.4546,128.9948,-93.414
