Name,Museum.Number,Museum,Sex,Length,Family,Habitat
Batagur_dhongoka,49717,SMF,F,376.4,Geoemydidae,A
Chelonia_mydas,73551,SMF,?,658.52,Cheloniidae,A
Chelonia_mydas,R2717,ZMUC,?,924,Cheloniidae,A
Chelonoidis_nigra,unnumbered,PCHP,M,863.51,Testudinidae,T
Chelydra_rossignonii,62980,USNM,M?,335.53,Chelydridae,A
Chelydra_serpentina,VP1,UNIFR,?,329.08,Chelydridae,A
Eretmochelys_imbricata,unnumbered,MUVHNZJ,?,513,Cheloniidae,A
Eretmochelys_imbricata,unnumbered,SMF,?,840,Cheloniidae,A
Eretmochelys_imbricata,R2719,ZMUC,F?,880.54,Cheloniidae,A
Macrochelys_temminckii,7432,SMF,M,563.34,Chelydridae,A
Orlitia_borneensis,67575,SMF,?,643.75,Geoemydidae,A
Orlitia_borneensis,226380,USNM,?,671.3,Geoemydidae,A
Pelusios_sinuatus,33053,SMF,?,339.4,Pelomedusidae,A
Podocnemis_vogli,52791,SMF,F,289.74,Podocnemididae,A
Testudo_marginata,Herp-247484,MVZ,M,234.77,Testudinidae,T
